Date,Country 1,Country 2,Country 3,Country 4,Country 5,Country 6,Target country,Strikes in Iraq,Strikes in Syria,Location 1,Location 2,Aircraft type,Number of aircrafts,Ammunition,Target 1,No of target 1,Status of target 1,Target 2,No of target 2,Status of target 2,Target 3,No of target 3,Status of target 3,Target 4,No of target 4,Status of target 4,Target 5,No of target 5,Status of target 5,Target 6,No of target 6,Status of target 6,Target 7,No of target 7,Status of target 7,Target 8,No of target 8,Status of target 8,Target 9,No of target 9,Status of target 9,Target 10,No of target 10,Status of target 10,Casualties?,Casualties estimate
2014-12-17T00:00:00Z,USA,"partner nation forces inc. France, Canada, UK",,,,,Iraq,2,,Sinjar,,"Fighter, bomber, attack, and remotely piloted aircraft",,,Vehicle,2,Destroyed,Guard tower,2,Destroyed,Container,3,Destroyed,Storage container,1,Destroyed,,,,,,,,,,,,,,,,,,,,
2014-12-17T00:00:00Z,USA,partner nation forces inc.Canada and UK,,,,,Iraq,1,,Hit,,"Fighter, bomber, attack, and remotely piloted aircraft",,,Tactical vehicle,1,Destroyed,Excavators,1,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-17T00:00:00Z,UK,,,,,,Iraq,1,,Rawah,,Fighter,,Brimstone missiles,Building,1,Destroyed,Storage container,1,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-17T00:00:00Z,USA,partner nation forces inc.Canada and UK,,,,,Iraq,1,,Irbil,,"Fighter, bomber, attack, and remotely piloted aircraft",,,Vehicle,1,Destroyed,Tactical unit,1,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-17T00:00:00Z,USA,partner nation forces inc.Canada and UK,,,,,Iraq,1,,Ramadi,,"Fighter, bomber, attack, and remotely piloted aircraft",,,Building,1,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-17T00:00:00Z,USA,"partner nation forces inc. France, Canada, UK",,,,,Iraq,45,,Zumar/Sinjar region,,"Fighter, bomber, attack, and remotely piloted aircraft",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-17T00:00:00Z,USA,,,,,,Syria,,5,Kobane,,Fighter and bomber,,,Building,1,Destroyed,Staging area,1,Destroyed,Bunker,1,Destroyed,Mortar position,1,Destroyed,Tactical unit,2,Unknown,Building,2,Unknown,Fighting position,2,Unknown,,,,,,,,,,,
2014-12-17T00:00:00Z,USA,,,,,,Syria,,1,Abu Kamal,,Fighter and bomber,,,Tactical vehicle,1,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-18T00:00:00Z,USA,partner nation forces inc. UK,,,,,Iraq,2,,Tal Afar,,"Fighter, bomber, attack, and remotely piloted aircraft",,,Excavator,1,Destroyed,Vehicle,1,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-18T00:00:00Z,USA,partner nation forces inc. UK,,,,,Iraq,2,,Mosul,,"Fighter, bomber, attack, and remotely piloted aircraft",,,Vehicle,2,Unknown,Tactical unit,1,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-18T00:00:00Z,USA,partner nation forces inc. UK,,,,,Iraq,1,,Ramadi,,"Fighter, bomber, attack, and remotely piloted aircraft",,,Tactical unit,1,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-18T00:00:00Z,USA,,,,,,Syria,,6,Kobane,,Fighter and bomber,,,Fighting position,7,Destroyed,Building,1,Destroyed,Tactical unit,1,Unknown,,,,,,,,,,,,,,,,,,,,,,,
